,Profile,Varieties
0,Flower,"iris,peony,elderflower,acacia,lilac,jasmine,honeysuckle,violet,lavender,rose,potpourri,hibiscus,floral,blossom,violets,petal,blossoms"
1,Citrus,"lime,lemon,grapefruit,orange,marmalade,lemons,lemon/lime,citrus,zesty,nartjie"
2,Tree Fruit,"quince,apple,pear,nectarine,peach,apricot,persimmon,peaches,peachyness,peardrops,grapey,appricots,stonefruits,greengage"
3,Tropical Fruit,"pineapple,mango,guava,passion fruit,lychee,bubblegum,cantaloupe,litchi,melons,melony,kiwi,spanspek,topical"
4,Red Fruit,"cranberry,red plum,pomegranate,sour cherry,strawberry,cherry,raspberry,berries,rasperry,cherries,maraschino,berrylike"
5,Black Fruit,"boysenberry,blackcurrant,black cherry,plum,blackberry,blueberry,olive,mulberry,black currant,currants"
6,Dried Fruit,"raisin,fig,date,fruit cake,figs,fruitcake"
7,Noble Rot,"bees wax,ginger,honey"
8,Spice,"white pepper,red pepper,black pepper,cinnamon,anise,5-spice,fennel,eucalyptus,mint,thyme,spicy,cloves,peppercorns,aniseed,minty,spicyness,licorice,khakibos,chili"
9,Vegetable,"grass,tomato leaf,gooseberry,bell pepper,jalapexc3xb1o,jalapeno,bitter almond,tomato,sun-dried tomato,black tea,herbs,peas,vegetal,grasiness,rosemary,nettle,buchu,caper"
10,Earth,"claypot,slate,wet gravel,potting soil,red beet,volcanic rocks,petroleum,granite,mineral,minerals,stone,flint,earthiness,rocky,lanolin,shale,oleic,carbon"
11,Microbial,"butter,cream,sourdough,lager,truffle,mushroom"
12,Oak Aging,"vanilla,coconut,baking spices,cigarbox,smoke,dill,chocolate,toast,oak,smoky,cedar,wood,tannin,caramel,brioche,woody,wooded,wooden,cigarboxes,fudge,blendwood,bronzecedarwood,bread,toastyness,nuttyness,tannins,toasted,almondswith"
13,General Aging,"dried fruit,nutty flavors,tobacco,coffee,cocoa,leather,hazelnuts,marzipan,almonds,moccha,nuttiness,chocochino,mocha"
14,Cork Taint(TCA),"musty cardboard,wet dog,venison"
15,Sulfides & Mercaptans,"cured meat,boiled eggs,burnt rubber,lit match,garlic,onion,cat pee,charcuterie,sulphur"
16,Brettanomyces,"black cardamon,band-aid,sweaty leather saddle,horse manure,saltiness"
17,Madeirized (orCooked),"toffee,stewed fruit,butterscotch"
18,Volatile Acidity (AceticAcid),"vinegar,nail polish remover,acid,vineyar"
